route_number,operator_ref,mean_headway_seconds,stddev_headway_seconds,headway_regularity_pct,meets_regularity_threshold
36,WDBC,60.0,0.0,0.0,True
37,SVCT,60.0,0.0,0.0,True
38,SVCT,77.14285714285714,111.09841197270616,144.0164599646191,False
38,WDBC,60.0,0.0,0.0,True
3x,WDBC,60.0,0.0,0.0,True
4,BLUS,76.36363636363636,121.35597524338358,158.91853900919278,False
4,SVCT,1338.1132075471698,9304.804601884196,695.3675181893152,False
4,WDBC,60.0,0.0,0.0,True
40,WDBC,112.0754716981132,379.1151564983817,338.26773222919576,False
42,TDTR,100.64516129032258,226.30268055373637,224.85202234505857,False
44,SWWD,457.89473684210526,1245.023779100751,271.90174486108356,False
48,TDTR,60.0,0.0,0.0,True
48A,TDTR,60.0,0.0,0.0,True
5,BLUS,207.77777777777777,1085.9404526338758,522.6451376312771,False
5,DAMY,60.0,0.0,0.0,True
5,SVCT,60.0,0.0,0.0,True
5,TDTR,187.63636363636363,672.1165122659955,358.2016295991255,False
5,WDBC,110.18181818181819,364.0079919202574,330.3702896966032,False
50,WDBC,1283.5714285714287,8355.910358666968,650.9891208755568,False
503,BLUS,60.0,0.0,0.0,True
504,BLUS,705.4054054054054,3925.8478168519314,556.5378131169405,False
538,BLUS,652.8571428571429,3842.153414056089,588.5136520436023,False
539,BLUS,1395.7894736842106,5822.571325634857,417.1525459542318,False
59,SVCT,60.0,0.0,0.0,True
6,DAMY,68.4,51.442855159281116,75.20885257204841,False
6,SVCT,310.90909090909093,1176.8679542829695,378.5247806173293,False
6,WDBC,284.72727272727275,1172.1329948328207,411.66867634613754,False
60,WDBC,1433.2075471698113,9997.101844185587,697.5334356790892,False
603,SWWD,60.0,0.0,0.0,True
61,BLUS,60.0,0.0,0.0,True
625,SWWD,60.0,0.0,0.0,True
63,SVCT,60.0,0.0,0.0,True
635,BLUS,60.0,0.0,0.0,True
650,SWWD,60.0,0.0,0.0,True
66,SWWD,295.6363636363636,1123.022976639662,379.8663205115708,False
663,SWWD,60.0,0.0,0.0,True
68,SVCT,60.0,0.0,0.0,True
7,BLUS,60.0,0.0,0.0,True
7,SVCT,171.27272727272728,579.9331204909961,338.6021404140635,False
70,WDBC,1367.5471698113208,9519.08708164415,696.070109446937,False
744,WDBC,60.0,0.0,0.0,True
757,BLUS,60.0,0.0,0.0,True
761,WDBC,71.25,45.0,63.1578947368421,False
762,WDBC,60.0,0.0,0.0,True
775,WDBC,60.0,0.0,0.0,True
777,WDBC,60.0,0.0,0.0,True
7A,WDBC,60.0,0.0,0.0,True
7B,WDBC,60.0,0.0,0.0,True
8,BLUS,60.0,0.0,0.0,True
8,SVCT,158.1818181818182,728.1358514603015,460.3157681645584,False
8,SWWD,60.0,0.0,0.0,True
8,WDBC,74.44444444444444,74.57215491930064,100.1715513841352,False
80,TDTR,84.44444444444444,179.6292478040997,212.71884608380228,False
81,WDBC,80.72727272727273,153.71756864161918,190.41590710110484,False
82,WDBC,60.0,0.0,0.0,True
842,TDTR,60.0,0.0,0.0,True
86,WDBC,117.77777777777777,400.37089722644913,339.93755424887195,False
88,SWWD,63.673469387755105,19.005906708071528,29.84902015049695,False
9,BLUS,62.18181818181818,16.18079669911781,26.021749077528643,False
9,SVCT,1282.909090909091,9069.336549855534,706.935246941687,False
9,TDTR,63.39622641509434,24.72490151076402,39.0005886925742,False
9,WDBC,60.0,0.0,0.0,True
901,SWWD,60.0,0.0,0.0,True
906,SWWD,60.0,0.0,0.0,True
907,SWWD,60.0,0.0,0.0,True
908,SWWD,496.15384615384613,3145.1501125970494,633.9062242443666,False
920,TDTR,60.0,0.0,0.0,True
926,SWWD,60.0,0.0,0.0,True
927,SWWD,60.0,0.0,0.0,True
929,SWWD,60.0,0.0,0.0,True
937,SWWD,60.0,0.0,0.0,True
940,WDBC,60.0,0.0,0.0,True
941,WDBC,60.0,0.0,0.0,True
949,DAMY,536.0869565217391,3219.947879675397,600.6391016426126,False
978,SWWD,60.0,0.0,0.0,True
987,SWWD,60.0,0.0,0.0,True
A,WDBC,826.875,4338.1001025794685,524.6379564721957,False
B,WDBC,708.6486486486486,3945.5756953285745,556.7746023156265,False
C,WDBC,904.1379310344828,4545.82187857423,502.7796890871574,False
