operator_ref,route_number,pulled_at,recorded_at,vehicle_ref,latitude,longitude,bearing,avl_id,avl_time_of_day,source_file,service_ref,line_ref,journey_code,departure_time,days_of_week,stop_count,sched_time_of_day,time_diff,disruption_count,avg_disruption_duration,avg_fare_gbp
WDBC,18,2026-07-20T13:51:40.890+05:45,2026-07-20T19:36:11.000+05:45,2274,50.735764,-1.960893,304,15093,49871,,,,,,,,,,13,142.6153846153846,3.1657190635451506
BLUS,2,2026-07-20T14:37:32.762+05:45,2026-07-20T20:22:03.000+05:45,1760,50.971365,-1.334366,205,15094,52623,BODS_PH1121126_203_20260601_118.xml,PH1121126:203,BLUS:PH1121126:203:2,VJ89,2026-07-21T20:20:00.000+05:45,Saturday,50,52500,123,7,93.0,2.940955284552847
BLUS,13,2026-07-20T14:06:03.275+05:45,2026-07-19T23:57:38.000+05:45,2744,50.915224,-1.361136,214,15105,65558,BODS_PH1121126_503_20260718_117.xml,PH1121126:503,BLUS:PH1121126:503:13,VJ98,2026-07-21T23:42:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,13,64620,938,14,130.21428571428572,2.940955284552847
TDTR,5,2026-07-20T14:33:41.663+05:45,2026-07-20T20:18:26.000+05:45,522,51.562672,-1.748141,93,15124,52406,,,,,,,,,,13,153.76923076923077,3.189354473386184
DAMY,CR8,2026-07-20T14:37:49.223+05:45,2026-07-20T20:22:45.000+05:45,1112,50.648772,-2.454495,291,15141,52665,,,,,,,,,,6,182.83333333333334,3.508187134502923
WDBC,13A,2026-07-20T14:22:06.195+05:45,2026-07-20T20:06:46.000+05:45,1628,50.80492,-1.891216,350,15142,51706,,,,,,,,,,18,115.44444444444444,3.1657190635451506
WDBC,125,2026-07-20T13:55:49.329+05:45,2026-07-20T19:25:03.000+05:45,2710,50.847015,-1.791925,,15146,49203,,,,,,,,,,16,125.75,3.1657190635451506
DAMY,X8,2026-07-20T14:30:56.689+05:45,2026-07-20T20:15:39.000+05:45,1793,50.739378,-2.012543,109,15150,52239,,,,,,,,,,12,103.41666666666667,3.508187134502923
TDTR,1A,2026-07-20T14:26:48.723+05:45,2026-07-20T20:11:27.000+05:45,2766,51.566241,-1.847576,190,15159,51987,,,,,,,,,,9,106.55555555555556,3.189354473386184
BLUS,8,2026-07-20T14:15:44.573+05:45,2026-07-20T20:00:06.000+05:45,2760,50.919637,-1.462751,306,15177,51306,BODS_PH1121126_199_20260718_116.xml,PH1121126:199,BLUS:PH1121126:199:8,VJ65,2026-07-21T19:35:00.000+05:45,Saturday,34,49800,1506,15,126.06666666666666,2.940955284552847
