pulled_at,recorded_at,vehicle_ref,route_number,operator_ref,latitude,longitude,bearing
2026-07-20T14:10:45.897+05:45,2026-07-20T19:54:44.000+05:45,3827,7B,WDBC,50.728939,-1.940014,91
2026-07-20T14:02:44.584+05:45,2026-07-20T19:47:30.000+05:45,1723,m1,WDBC,50.726227,-1.9174,286
2026-07-20T14:07:09.895+05:45,2026-07-20T15:45:47.000+05:45,1772,m2,WDBC,50.727219,-1.841685,
2026-07-20T14:20:59.984+05:45,2026-07-20T20:05:28.000+05:45,1753,7,BLUS,50.914615,-1.423463,
2026-07-20T13:59:58.980+05:45,2026-07-20T19:44:41.000+05:45,3828,ONE,WDBC,50.713885,-1.986072,315
2026-07-20T14:28:44.394+05:45,2026-07-20T20:13:22.000+05:45,1992,TNB,SVCT,50.700844,-1.482659,168
2026-07-20T14:15:11.585+05:45,2026-07-20T17:47:04.000+05:45,1409,50,WDBC,50.6099,-1.962524,
2026-07-20T14:31:13.123+05:45,2026-07-20T20:16:03.000+05:45,1595,2,SVCT,50.732639,-1.159432,
2026-07-20T14:06:53.175+05:45,2026-07-20T19:51:36.000+05:45,1673,13A,WDBC,50.800088,-1.988196,
2026-07-20T14:21:32.985+05:45,2026-07-20T20:06:22.000+05:45,1321,9,SVCT,50.727713,-1.203928,98
2026-07-20T14:37:16.190+05:45,2026-07-20T20:21:56.000+05:45,1806,12,BLUS,50.92523,-1.510195,294
2026-07-20T14:13:48.607+05:45,2026-07-20T19:58:31.000+05:45,1699,U3,WDBC,50.736781,-1.860464,272
2026-07-20T14:38:05.833+05:45,2026-07-20T20:22:42.000+05:45,2724,25,SWWD,51.080302,-1.799168,
2026-07-20T14:16:17.784+05:45,2026-07-20T19:10:10.000+05:45,1525,30,WDBC,50.612678,-2.453447,
2026-07-20T14:01:21.739+05:45,2026-07-20T19:46:15.000+05:45,238,1B,WDBC,50.733442,-1.808223,222
2026-07-20T14:02:44.584+05:45,2026-07-20T19:47:18.000+05:45,1695,33,WDBC,50.716387,-1.888365,82
2026-07-20T14:38:55.083+05:45,2026-07-20T20:23:26.000+05:45,1333,R1,SWWD,51.068515,-1.794921,
2026-07-20T14:24:52.252+05:45,2026-07-20T20:09:37.000+05:45,2253,3,WDBC,50.752523,-1.9939,88
2026-07-20T14:19:03.545+05:45,2026-07-20T20:03:44.000+05:45,2736,2,TDTR,51.568814,-1.747725,200
2026-07-20T14:11:35.844+05:45,2026-07-20T19:35:56.000+05:45,1645,82,WDBC,50.760876,-1.537172,
2026-07-20T14:35:04.009+05:45,2026-07-20T20:19:49.000+05:45,1791,X3,WDBC,50.99656,-1.758771,14
2026-07-20T14:04:07.496+05:45,2026-07-20T19:48:57.000+05:45,1519,6,SVCT,50.698302,-1.299178,34
2026-07-20T14:34:14.663+05:45,2026-07-20T20:19:07.000+05:45,1560,17,BLUS,50.903668,-1.402666,
2026-07-20T14:10:12.575+05:45,2026-07-20T19:54:42.000+05:45,1745,3,SVCT,50.595309,-1.20573,
2026-07-20T14:32:35.623+05:45,2026-07-20T20:17:11.000+05:45,1197,744,WDBC,50.728621,-1.981884,
2026-07-20T14:17:07.690+05:45,2026-07-20T20:01:56.000+05:45,1653,1,SVCT,50.762133,-1.298596,
